epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
    1,                 1.2888,                  3.661,                 3.9371,                 1.6663,                 0.0053,                0.88034,                0.10323,                0.05843,                0.00495,                0.84722,                0.08272,                 0.0517,                 1.0945,                 2.6128,                 3.7572,                 1.5741,                  7e-05,                  7e-05,                  7e-05
    2,                0.94894,                 2.3731,                 3.4543,                 1.4174,                0.00539,                0.88177,                 0.2014,                0.11073,                0.00479,                0.83789,                0.17499,                0.12202,                 1.2173,                 2.9242,                  3.772,                 1.6879,             0.00013515,             0.00013515,             0.00013515
    3,                0.88584,                 1.8316,                 2.8079,                 1.3354,                0.00592,                0.89872,                0.27828,                0.13572,                0.00521,                0.84886,                0.22936,                0.13575,                 1.3355,                 3.8989,                   3.56,                 1.9072,             0.00018446,             0.00018446,             0.00018446
    4,                0.91226,                 1.6868,                 2.4956,                 1.3354,                0.00592,                 0.9114,                0.27178,                0.14265,                0.00524,                0.85755,                0.22768,                0.11918,                 1.3853,                 3.5091,                 3.5766,                 1.8129,             0.00021793,             0.00021793,             0.00021793
    5,                0.89704,                 1.5826,                 2.3785,                 1.3096,                0.01067,                0.93405,                0.34457,                0.20197,                0.00953,                0.88967,                0.30589,                0.19931,                 1.2019,                 2.9717,                 3.3656,                 1.6077,             0.00023556,             0.00023556,             0.00023556
    6,                0.89234,                 1.5928,                 2.2033,                 1.2918,                0.78519,                0.08491,                0.52185,                0.32907,                0.78519,                0.08491,                0.49507,                 0.3664,                 1.0949,                 2.4062,                  3.147,                 1.4859,             0.00023735,             0.00023735,             0.00023735
    7,                0.83009,                 1.5075,                 2.0083,                 1.2747,                0.74573,                0.22693,                0.57522,                0.40852,                 0.6763,                0.21839,                0.55047,                0.42369,                 1.0459,                 2.1669,                 2.9167,                  1.403,              0.0002233,              0.0002233,              0.0002233
    8,                0.79133,                 1.3921,                 1.8374,                 1.2208,                0.78838,                0.36537,                0.68926,                0.46485,                0.76032,                0.35754,                0.63909,                0.49376,                 1.1165,                 2.2649,                 2.8315,                 1.4884,             0.00019341,             0.00019341,             0.00019341
    9,                0.77192,                 1.3265,                 1.7383,                 1.1959,                0.84131,                0.46707,                0.75107,                0.53501,                0.83432,                 0.4537,                0.71549,                0.55138,                 1.0185,                 2.1576,                 2.6617,                 1.3731,             0.00014768,             0.00014768,             0.00014768
    10,                0.74866,                 1.2652,                 1.6456,                 1.1823,                0.81847,                0.62265,                0.77604,                0.56029,                0.80106,                0.61268,                0.74321,                0.58874,                 1.0403,                 2.0394,                 2.4169,                 1.3774,              8.611e-05,              8.611e-05,              8.611e-05
